dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
DLTypo,103970,back_translation_pivot_language_de,paraphrase,how long does amoxicilin work for,how long does amoxicillin work,TRUE,TRUE
DLTypo,103973,back_translation_pivot_language_de,paraphrase,how long to wait after an oral intervew,how long should you wait after an oral interview,TRUE,TRUE
DLTypo,103983,back_translation_pivot_language_de,paraphrase,how money does the show seinfled make,how money makes the show fled,FALSE,TRUE
DLTypo,104002,back_translation_pivot_language_de,paraphrase,how to blanch frise,how to cut frise,FALSE,TRUE
DLTypo,104009,back_translation_pivot_language_de,paraphrase,how to clean siver,how to clean the soap,FALSE,TRUE
DLTypo,104012,back_translation_pivot_language_de,paraphrase,how to clear bad exzema,how to remove bad exem,TRUE,TRUE
DLTypo,104037,back_translation_pivot_language_de,paraphrase,how to get ride of dust mites,how to travel with the dustmits,FALSE,f
DLTypo,104047,back_translation_pivot_language_de,paraphrase,how to lay basemen drain pipes,how to put basemen in pipe,FALSE,TRUE
DLTypo,104063,back_translation_pivot_language_de,paraphrase,how to plant a graden,how to plan a degree,FALSE,f
DLTypo,104107,back_translation_pivot_language_de,paraphrase,how to write a foral letter,how to write a foral letter,FALSE,FALSE
DLTypo,104345,back_translation_pivot_language_de,paraphrase,information on water lilly,information about water lilly,TRUE,TRUE
DLTypo,104867,back_translation_pivot_language_de,paraphrase,kenmore elite refridgerator,kenmore elite refrigerator,TRUE,TRUE
DLTypo,104925,back_translation_pivot_language_de,paraphrase,kindey bun levels,kindey bun levels,FALSE,FALSE
DLTypo,105415,back_translation_pivot_language_de,paraphrase,los angelel unified school district,los angeles united school area,TRUE,TRUE
DLTypo,105581,back_translation_pivot_language_de,paraphrase,mab about you,mobb about you,FALSE,TRUE
DLTypo,105826,back_translation_pivot_language_de,paraphrase,mason dixson line,mason dixon line,TRUE,TRUE
DLTypo,105899,back_translation_pivot_language_de,paraphrase,medal taste in mouth symptoms,medal taste in the mouth symptoms,TRUE,TRUE
DLTypo,106158,back_translation_pivot_language_de,paraphrase,mobile omes for sale,mobile omes for sale,FALSE,FALSE
DLTypo,107625,back_translation_pivot_language_de,paraphrase,polar hear rate monitor,polar hearing rate monitor,FALSE,TRUE
DLTypo,108039,back_translation_pivot_language_de,paraphrase,real gohst pics,true gohst pics,TRUE,TRUE
DLTypo,108875,back_translation_pivot_language_de,paraphrase,singer axel rose,song by axel rose,TRUE,TRUE
DLTypo,109323,back_translation_pivot_language_de,paraphrase,steelers heinz filed tickets,steelers heinz tickets,TRUE,TRUE
DLTypo,4271677555,back_translation_pivot_language_de,paraphrase,stint for kidney stones,stint for kidney stones,FALSE,FALSE
DLTypo,109410,back_translation_pivot_language_de,paraphrase,student loans from a banck,student loans from a bank,TRUE,TRUE
DLTypo,109537,back_translation_pivot_language_de,paraphrase,symptoms of gential herpes,symptoms of genital herpes,TRUE,TRUE
DLTypo,109599,back_translation_pivot_language_de,paraphrase,taning bed eye damage,taning bed eye injury,TRUE,TRUE
DLTypo,109832,back_translation_pivot_language_de,paraphrase,the great catsby,the great catsby,FALSE,FALSE
DLTypo,109873,back_translation_pivot_language_de,paraphrase,the miami hearld,the miami people hear,FALSE,TRUE
DLTypo,109978,back_translation_pivot_language_de,paraphrase,things to do when broed,things to do when you broed,TRUE,TRUE
DLTypo,110090,back_translation_pivot_language_de,paraphrase,toliet gurgles after flushing,toliet gurgles to flushing,TRUE,TRUE
DLTypo,110271,back_translation_pivot_language_de,paraphrase,troy built tiller,troy built,FALSE,TRUE
DLTypo,110434,back_translation_pivot_language_de,paraphrase,university of tennesse,university of tennis,FALSE,f
DLTypo,110445,back_translation_pivot_language_de,paraphrase,untied health care,untied healthcare,TRUE,TRUE
DLTypo,110633,back_translation_pivot_language_de,paraphrase,venitian las vegas,venice las vegas,TRUE,TRUE
DLTypo,110843,back_translation_pivot_language_de,paraphrase,washington state goverment,washington state government,TRUE,TRUE
DLTypo,110992,back_translation_pivot_language_de,paraphrase,what causes stomache cancer,what causes stomach cancer,TRUE,TRUE
DLTypo,110999,back_translation_pivot_language_de,paraphrase,what does excupatory mean,what is excupatory,TRUE,TRUE
DLTypo,111002,back_translation_pivot_language_de,paraphrase,what does the declaration of independance represent,what is the declaration of independence,TRUE,TRUE
DLTypo,111014,back_translation_pivot_language_de,paraphrase,what is acid reflex,what is acid reflex,FALSE,FALSE
DLTypo,1245295473,back_translation_pivot_language_de,paraphrase,what is acreis,what is acre,FALSE,TRUE
DLTypo,111024,back_translation_pivot_language_de,paraphrase,what is hepatitus,what is hepatitis,TRUE,TRUE
DLTypo,111026,back_translation_pivot_language_de,paraphrase,what is leader of algonquians civilization,what is the leader of the algonchian civilization,TRUE,TRUE
DLTypo,111043,back_translation_pivot_language_de,paraphrase,what kind of medicine is zytec,what medicine is zytec,TRUE,TRUE
DLTypo,111056,back_translation_pivot_language_de,paraphrase,what to feed tood frogs,what to eat products frogs,FALSE,TRUE
DLTypo,99118,naturality_by_removing_stop_words,naturality,alchol and drug rehab,alchol drug rehab,TRUE,TRUE
DLTypo,99431,naturality_by_removing_stop_words,naturality,applying for bussiness loans,applying bussiness loans,TRUE,TRUE
DLTypo,99450,naturality_by_removing_stop_words,naturality,ared hat society,ared hat society,FALSE,FALSE
DLTypo,99478,naturality_by_removing_stop_words,naturality,army physical fittness test,army physical fittness test,FALSE,FALSE
DLTypo,99636,naturality_by_removing_stop_words,naturality,azygous lobe in the lung,azygous lobe lung,TRUE,TRUE
DLTypo,100382,naturality_by_removing_stop_words,naturality,cache creek casion,cache creek casion,FALSE,FALSE
DLTypo,100508,naturality_by_removing_stop_words,naturality,car accident lawers,car accident lawers,FALSE,FALSE
DLTypo,2230899496,naturality_by_removing_stop_words,naturality,congential seizures in dogs,congential seizures dogs,TRUE,TRUE
DLTypo,102043,naturality_by_removing_stop_words,naturality,drug teting in animals,drug teting animals,TRUE,TRUE
DLTypo,102400,naturality_by_removing_stop_words,naturality,facts about chirs brown,facts chirs brown,TRUE,TRUE
DLTypo,102610,naturality_by_removing_stop_words,naturality,flee market buildings,flee market buildings,FALSE,FALSE
DLTypo,103451,naturality_by_removing_stop_words,naturality,guide to create a cover latter,guide create cover latter,TRUE,TRUE
DLTypo,103540,naturality_by_removing_stop_words,naturality,haravrd medical school,haravrd medical school,FALSE,FALSE
DLTypo,103941,naturality_by_removing_stop_words,naturality,how did confusianism create order in china,confusianism create order china,TRUE,TRUE
DLTypo,103945,naturality_by_removing_stop_words,naturality,how do i clean my computor monitor screen,clean computor monitor screen,TRUE,TRUE
DLTypo,103963,naturality_by_removing_stop_words,naturality,how far is it from san diego to tiajuana mexico,far san diego tiajuana mexico,TRUE,TRUE
DLTypo,103970,naturality_by_removing_stop_words,naturality,how long does amoxicilin work for,long amoxicilin work,TRUE,TRUE
DLTypo,103973,naturality_by_removing_stop_words,naturality,how long to wait after an oral intervew,long wait oral intervew,TRUE,TRUE
DLTypo,103983,naturality_by_removing_stop_words,naturality,how money does the show seinfled make,money show seinfled make,TRUE,TRUE
DLTypo,104002,naturality_by_removing_stop_words,naturality,how to blanch frise,blanch frise,TRUE,TRUE
DLTypo,104009,naturality_by_removing_stop_words,naturality,how to clean siver,clean siver,TRUE,TRUE
DLTypo,104012,naturality_by_removing_stop_words,naturality,how to clear bad exzema,clear bad exzema,TRUE,TRUE
DLTypo,104037,naturality_by_removing_stop_words,naturality,how to get ride of dust mites,get ride dust mites,TRUE,TRUE
DLTypo,104047,naturality_by_removing_stop_words,naturality,how to lay basemen drain pipes,lay basemen drain pipes,TRUE,TRUE
DLTypo,104063,naturality_by_removing_stop_words,naturality,how to plant a graden,plant graden,TRUE,TRUE
DLTypo,104107,naturality_by_removing_stop_words,naturality,how to write a foral letter,write foral letter,TRUE,TRUE
DLTypo,104345,naturality_by_removing_stop_words,naturality,information on water lilly,information water lilly,TRUE,TRUE
DLTypo,104867,naturality_by_removing_stop_words,naturality,kenmore elite refridgerator,kenmore elite refridgerator,FALSE,FALSE
DLTypo,104925,naturality_by_removing_stop_words,naturality,kindey bun levels,kindey bun levels,FALSE,FALSE
DLTypo,105415,naturality_by_removing_stop_words,naturality,los angelel unified school district,los angelel unified school district,FALSE,FALSE
DLTypo,105581,naturality_by_removing_stop_words,naturality,mab about you,mab,FALSE,f
DLTypo,105826,naturality_by_removing_stop_words,naturality,mason dixson line,mason dixson line,FALSE,FALSE
DLTypo,105899,naturality_by_removing_stop_words,naturality,medal taste in mouth symptoms,medal taste mouth symptoms,TRUE,TRUE
DLTypo,106158,naturality_by_removing_stop_words,naturality,mobile omes for sale,mobile omes sale,TRUE,TRUE
DLTypo,107625,naturality_by_removing_stop_words,naturality,polar hear rate monitor,polar hear rate monitor,FALSE,FALSE
DLTypo,108039,naturality_by_removing_stop_words,naturality,real gohst pics,real gohst pics,FALSE,FALSE
DLTypo,108875,naturality_by_removing_stop_words,naturality,singer axel rose,singer axel rose,FALSE,FALSE
DLTypo,109323,naturality_by_removing_stop_words,naturality,steelers heinz filed tickets,steelers heinz filed tickets,FALSE,FALSE
DLTypo,4271677555,naturality_by_removing_stop_words,naturality,stint for kidney stones,stint kidney stones,TRUE,TRUE
DLTypo,109410,naturality_by_removing_stop_words,naturality,student loans from a banck,student loans banck,TRUE,TRUE
DLTypo,109537,naturality_by_removing_stop_words,naturality,symptoms of gential herpes,symptoms gential herpes,TRUE,TRUE
DLTypo,109599,naturality_by_removing_stop_words,naturality,taning bed eye damage,taning bed eye damage,FALSE,FALSE
DLTypo,109832,naturality_by_removing_stop_words,naturality,the great catsby,great catsby,TRUE,TRUE
DLTypo,109873,naturality_by_removing_stop_words,naturality,the miami hearld,miami hearld,TRUE,TRUE
DLTypo,109978,naturality_by_removing_stop_words,naturality,things to do when broed,things broed,TRUE,TRUE
DLTypo,110090,naturality_by_removing_stop_words,naturality,toliet gurgles after flushing,toliet gurgles flushing,TRUE,TRUE
DLTypo,110271,naturality_by_removing_stop_words,naturality,troy built tiller,troy built tiller,FALSE,FALSE
DLTypo,110434,naturality_by_removing_stop_words,naturality,university of tennesse,university tennesse,TRUE,TRUE
DLTypo,110445,naturality_by_removing_stop_words,naturality,untied health care,untied health care,FALSE,FALSE
DLTypo,110633,naturality_by_removing_stop_words,naturality,venitian las vegas,venitian las vegas,FALSE,FALSE
DLTypo,110843,naturality_by_removing_stop_words,naturality,washington state goverment,washington state goverment,FALSE,FALSE
DLTypo,110992,naturality_by_removing_stop_words,naturality,what causes stomache cancer,causes stomache cancer,TRUE,TRUE
DLTypo,110999,naturality_by_removing_stop_words,naturality,what does excupatory mean,excupatory mean,TRUE,TRUE
DLTypo,111002,naturality_by_removing_stop_words,naturality,what does the declaration of independance represent,declaration independance represent,TRUE,TRUE
DLTypo,111014,naturality_by_removing_stop_words,naturality,what is acid reflex,acid reflex,TRUE,TRUE
DLTypo,1245295473,naturality_by_removing_stop_words,naturality,what is acreis,acreis,TRUE,TRUE
DLTypo,111024,naturality_by_removing_stop_words,naturality,what is hepatitus,hepatitus,TRUE,TRUE
DLTypo,111026,naturality_by_removing_stop_words,naturality,what is leader of algonquians civilization,leader algonquians civilization,TRUE,TRUE
DLTypo,111043,naturality_by_removing_stop_words,naturality,what kind of medicine is zytec,kind medicine zytec,TRUE,TRUE
DLTypo,111056,naturality_by_removing_stop_words,naturality,what to feed tood frogs,feed tood frogs,TRUE,TRUE
DLTypo,99118,ramsrigouthamg/t5_paraphraser,paraphrase,alchol and drug rehab,what is the difference between alchol and drug rehab,FALSE,f
DLTypo,99431,ramsrigouthamg/t5_paraphraser,paraphrase,applying for bussiness loans,how do i apply for a bussiness loan,TRUE,TRUE
DLTypo,99450,ramsrigouthamg/t5_paraphraser,paraphrase,ared hat society,ared hat society,FALSE,FALSE
DLTypo,99478,ramsrigouthamg/t5_paraphraser,paraphrase,army physical fittness test,what is the army physical fittness test,TRUE,TRUE
DLTypo,99636,ramsrigouthamg/t5_paraphraser,paraphrase,azygous lobe in the lung,is there an azygous lobe in the lung,TRUE,TRUE
DLTypo,100382,ramsrigouthamg/t5_paraphraser,paraphrase,cache creek casion,what is cache creek casion,TRUE,TRUE
DLTypo,100508,ramsrigouthamg/t5_paraphraser,paraphrase,car accident lawers,what are car accident lawyers,TRUE,TRUE
DLTypo,2230899496,ramsrigouthamg/t5_paraphraser,paraphrase,congential seizures in dogs,what causes congential seizures in dogs,TRUE,TRUE
DLTypo,102043,ramsrigouthamg/t5_paraphraser,paraphrase,drug teting in animals,what is drug teting in animals,TRUE,TRUE
DLTypo,102400,ramsrigouthamg/t5_paraphraser,paraphrase,facts about chirs brown,what are some interesting facts about chirs brown,TRUE,TRUE
DLTypo,102610,ramsrigouthamg/t5_paraphraser,paraphrase,flee market buildings,what are flee market buildings,TRUE,TRUE
DLTypo,103451,ramsrigouthamg/t5_paraphraser,paraphrase,guide to create a cover latter,how do i create a cover,FALSE,TRUE
DLTypo,103540,ramsrigouthamg/t5_paraphraser,paraphrase,haravrd medical school,what is haravrd medical school,TRUE,TRUE
DLTypo,103941,ramsrigouthamg/t5_paraphraser,paraphrase,how did confusianism create order in china,how did confusianism create order in china,FALSE,FALSE
DLTypo,103945,ramsrigouthamg/t5_paraphraser,paraphrase,how do i clean my computor monitor screen,how do i clean a monitor screen,TRUE,TRUE
DLTypo,103963,ramsrigouthamg/t5_paraphraser,paraphrase,how far is it from san diego to tiajuana mexico,how far is it from san diego to tijuana mexico,TRUE,TRUE
DLTypo,103970,ramsrigouthamg/t5_paraphraser,paraphrase,how long does amoxicilin work for,how long does amoxicilin work,TRUE,TRUE
DLTypo,103973,ramsrigouthamg/t5_paraphraser,paraphrase,how long to wait after an oral intervew,how long does it take to wait for an oral intervew,TRUE,TRUE
DLTypo,103983,ramsrigouthamg/t5_paraphraser,paraphrase,how money does the show seinfled make,how much money does the show seifled make,TRUE,TRUE
DLTypo,104002,ramsrigouthamg/t5_paraphraser,paraphrase,how to blanch frise,how do i blanch frise,TRUE,TRUE
DLTypo,104009,ramsrigouthamg/t5_paraphraser,paraphrase,how to clean siver,how do i clean a siver,TRUE,TRUE
DLTypo,104012,ramsrigouthamg/t5_paraphraser,paraphrase,how to clear bad exzema,how do i get rid of exzema,TRUE,TRUE
DLTypo,104037,ramsrigouthamg/t5_paraphraser,paraphrase,how to get ride of dust mites,how do i get rid of dust mites,TRUE,TRUE
DLTypo,104047,ramsrigouthamg/t5_paraphraser,paraphrase,how to lay basemen drain pipes,how do i lay basemen drain pipes,TRUE,TRUE
DLTypo,104063,ramsrigouthamg/t5_paraphraser,paraphrase,how to plant a graden,how do i plant a graden,TRUE,TRUE
DLTypo,104107,ramsrigouthamg/t5_paraphraser,paraphrase,how to write a foral letter,how do i write a foral letter,TRUE,TRUE
DLTypo,104345,ramsrigouthamg/t5_paraphraser,paraphrase,information on water lilly,what is water lilly,TRUE,TRUE
DLTypo,104867,ramsrigouthamg/t5_paraphraser,paraphrase,kenmore elite refridgerator,what is a kenmore elite refrigerator,TRUE,TRUE
DLTypo,104925,ramsrigouthamg/t5_paraphraser,paraphrase,kindey bun levels,what are some of the best kindey bun levels,TRUE,TRUE
DLTypo,105415,ramsrigouthamg/t5_paraphraser,paraphrase,los angelel unified school district,what is the los angeles unified school district,TRUE,TRUE
DLTypo,105581,ramsrigouthamg/t5_paraphraser,paraphrase,mab about you,what is mab about you,TRUE,TRUE
DLTypo,105826,ramsrigouthamg/t5_paraphraser,paraphrase,mason dixson line,what is a mason dixson line,TRUE,TRUE
DLTypo,105899,ramsrigouthamg/t5_paraphraser,paraphrase,medal taste in mouth symptoms,what are the symptoms of medal taste in mouth,TRUE,TRUE
DLTypo,106158,ramsrigouthamg/t5_paraphraser,paraphrase,mobile omes for sale,mobile omes for sale,FALSE,FALSE
DLTypo,107625,ramsrigouthamg/t5_paraphraser,paraphrase,polar hear rate monitor,what is polar hear rate monitor,TRUE,TRUE
DLTypo,108039,ramsrigouthamg/t5_paraphraser,paraphrase,real gohst pics,what are some real gohst pics,TRUE,TRUE
DLTypo,108875,ramsrigouthamg/t5_paraphraser,paraphrase,singer axel rose,who is axel rose,TRUE,TRUE
DLTypo,109323,ramsrigouthamg/t5_paraphraser,paraphrase,steelers heinz filed tickets,steelers heinz filed tickets,FALSE,FALSE
DLTypo,4271677555,ramsrigouthamg/t5_paraphraser,paraphrase,stint for kidney stones,is there a cure for kidney stones,TRUE,TRUE
DLTypo,109410,ramsrigouthamg/t5_paraphraser,paraphrase,student loans from a banck,how can i get a student loan from a banck,TRUE,TRUE
DLTypo,109537,ramsrigouthamg/t5_paraphraser,paraphrase,symptoms of gential herpes,what are the symptoms of gential herpes,TRUE,TRUE
DLTypo,109599,ramsrigouthamg/t5_paraphraser,paraphrase,taning bed eye damage,what causes taning bed eye damage,TRUE,TRUE
DLTypo,109832,ramsrigouthamg/t5_paraphraser,paraphrase,the great catsby,what is the great catsby,TRUE,TRUE
DLTypo,109873,ramsrigouthamg/t5_paraphraser,paraphrase,the miami hearld,what is the miami hearld,TRUE,TRUE
DLTypo,109978,ramsrigouthamg/t5_paraphraser,paraphrase,things to do when broed,what are the things to do when broeding,FALSE,TRUE
DLTypo,110090,ramsrigouthamg/t5_paraphraser,paraphrase,toliet gurgles after flushing,why does a toliet gurgle after flushing,TRUE,TRUE
DLTypo,110271,ramsrigouthamg/t5_paraphraser,paraphrase,troy built tiller,what is a troy built tiller,TRUE,TRUE
DLTypo,110434,ramsrigouthamg/t5_paraphraser,paraphrase,university of tennesse,what is the university of tennessee,TRUE,TRUE
DLTypo,110445,ramsrigouthamg/t5_paraphraser,paraphrase,untied health care,what is untied health care,TRUE,TRUE
DLTypo,110633,ramsrigouthamg/t5_paraphraser,paraphrase,venitian las vegas,what is venetian las vegas,TRUE,TRUE
DLTypo,110843,ramsrigouthamg/t5_paraphraser,paraphrase,washington state goverment,what is the washington state goverment,TRUE,TRUE
DLTypo,110992,ramsrigouthamg/t5_paraphraser,paraphrase,what causes stomache cancer,what causes stomach cancer,TRUE,TRUE
DLTypo,110999,ramsrigouthamg/t5_paraphraser,paraphrase,what does excupatory mean,what does excupatory mean,FALSE,FALSE
DLTypo,111002,ramsrigouthamg/t5_paraphraser,paraphrase,what does the declaration of independance represent,what does the declaration of independence represent,TRUE,TRUE
DLTypo,111014,ramsrigouthamg/t5_paraphraser,paraphrase,what is acid reflex,what is an acid reflex,TRUE,TRUE
DLTypo,1245295473,ramsrigouthamg/t5_paraphraser,paraphrase,what is acreis,what is an acreis,TRUE,TRUE
DLTypo,111024,ramsrigouthamg/t5_paraphraser,paraphrase,what is hepatitus,what is hepatitis,TRUE,TRUE
DLTypo,111026,ramsrigouthamg/t5_paraphraser,paraphrase,what is leader of algonquians civilization,who is the leader of algonquian civilization,TRUE,TRUE
DLTypo,111043,ramsrigouthamg/t5_paraphraser,paraphrase,what kind of medicine is zytec,what is zytec,TRUE,TRUE
DLTypo,111056,ramsrigouthamg/t5_paraphraser,paraphrase,what to feed tood frogs,how do i feed tood frogs,TRUE,TRUE
DLTypo,99118,summarization_with_t5-base_from_description_to_title,naturality,alchol and drug rehab,alchol and drug rehab,FALSE,FALSE
DLTypo,99431,summarization_with_t5-base_from_description_to_title,naturality,applying for bussiness loans,bussiness loans,TRUE,TRUE
DLTypo,99450,summarization_with_t5-base_from_description_to_title,naturality,ared hat society,ared hat society,FALSE,FALSE
DLTypo,99478,summarization_with_t5-base_from_description_to_title,naturality,army physical fittness test,army fittness test,TRUE,TRUE
DLTypo,99636,summarization_with_t5-base_from_description_to_title,naturality,azygous lobe in the lung,lung azygous,TRUE,TRUE
DLTypo,100382,summarization_with_t5-base_from_description_to_title,naturality,cache creek casion,cache creek casion,FALSE,FALSE
DLTypo,100508,summarization_with_t5-base_from_description_to_title,naturality,car accident lawers,car accident lawers,FALSE,FALSE
DLTypo,2230899496,summarization_with_t5-base_from_description_to_title,naturality,congential seizures in dogs,congential seizures in dogs,FALSE,FALSE
DLTypo,102043,summarization_with_t5-base_from_description_to_title,naturality,drug teting in animals,drug teting animals,TRUE,FALSE
DLTypo,102400,summarization_with_t5-base_from_description_to_title,naturality,facts about chirs brown,chirs brown,TRUE,TRUE
DLTypo,102610,summarization_with_t5-base_from_description_to_title,naturality,flee market buildings,flee market buildings,FALSE,FALSE
DLTypo,103451,summarization_with_t5-base_from_description_to_title,naturality,guide to create a cover latter,a cover latter,TRUE,TRUE
DLTypo,103540,summarization_with_t5-base_from_description_to_title,naturality,haravrd medical school,medical school,TRUE,TRUE
DLTypo,103941,summarization_with_t5-base_from_description_to_title,naturality,how did confusianism create order in china,confusianism china,TRUE,TRUE
DLTypo,103945,summarization_with_t5-base_from_description_to_title,naturality,how do i clean my computor monitor screen,computor monitor screen clean,TRUE,TRUE
DLTypo,103963,summarization_with_t5-base_from_description_to_title,naturality,how far is it from san diego to tiajuana mexico,tiajuana,FALSE,TRUE
DLTypo,103970,summarization_with_t5-base_from_description_to_title,naturality,how long does amoxicilin work for,amoxicilin,TRUE,TRUE
DLTypo,103973,summarization_with_t5-base_from_description_to_title,naturality,how long to wait after an oral intervew,oral intervew,TRUE,TRUE
DLTypo,103983,summarization_with_t5-base_from_description_to_title,naturality,how money does the show seinfled make,seinfled money,TRUE,TRUE
DLTypo,104002,summarization_with_t5-base_from_description_to_title,naturality,how to blanch frise,frise blanch,TRUE,TRUE
DLTypo,104009,summarization_with_t5-base_from_description_to_title,naturality,how to clean siver,siver cleaning,TRUE,TRUE
DLTypo,104012,summarization_with_t5-base_from_description_to_title,naturality,how to clear bad exzema,bad exzema,TRUE,TRUE
DLTypo,104037,summarization_with_t5-base_from_description_to_title,naturality,how to get ride of dust mites,dust mites,TRUE,TRUE
DLTypo,104047,summarization_with_t5-base_from_description_to_title,naturality,how to lay basemen drain pipes,basemen drain pipes,TRUE,TRUE
DLTypo,104063,summarization_with_t5-base_from_description_to_title,naturality,how to plant a graden,graden plant,TRUE,TRUE
DLTypo,104107,summarization_with_t5-base_from_description_to_title,naturality,how to write a foral letter,foral letter,TRUE,TRUE
DLTypo,104345,summarization_with_t5-base_from_description_to_title,naturality,information on water lilly,water lilly,TRUE,TRUE
DLTypo,104867,summarization_with_t5-base_from_description_to_title,naturality,kenmore elite refridgerator,kenmore elite refridger,FALSE,TRUE
DLTypo,104925,summarization_with_t5-base_from_description_to_title,naturality,kindey bun levels,kindey bun levels,FALSE,FALSE
DLTypo,105415,summarization_with_t5-base_from_description_to_title,naturality,los angelel unified school district,los angeles unified school,TRUE,TRUE
DLTypo,105581,summarization_with_t5-base_from_description_to_title,naturality,mab about you,mab about you,FALSE,FALSE
DLTypo,105826,summarization_with_t5-base_from_description_to_title,naturality,mason dixson line,mason dixson line,FALSE,FALSE
DLTypo,105899,summarization_with_t5-base_from_description_to_title,naturality,medal taste in mouth symptoms,medal taste in mouth symptoms,FALSE,FALSE
DLTypo,106158,summarization_with_t5-base_from_description_to_title,naturality,mobile omes for sale,mobile omes for sale,FALSE,FALSE
DLTypo,107625,summarization_with_t5-base_from_description_to_title,naturality,polar hear rate monitor,hear rate monitor,TRUE,TRUE
DLTypo,108039,summarization_with_t5-base_from_description_to_title,naturality,real gohst pics,gohst pics,TRUE,TRUE
DLTypo,108875,summarization_with_t5-base_from_description_to_title,naturality,singer axel rose,axel rose,TRUE,TRUE
DLTypo,109323,summarization_with_t5-base_from_description_to_title,naturality,steelers heinz filed tickets,steelers heinz tickets,TRUE,TRUE
DLTypo,4271677555,summarization_with_t5-base_from_description_to_title,naturality,stint for kidney stones,kidney stones,TRUE,TRUE
DLTypo,109410,summarization_with_t5-base_from_description_to_title,naturality,student loans from a banck,student loans from banck,TRUE,TRUE
DLTypo,109537,summarization_with_t5-base_from_description_to_title,naturality,symptoms of gential herpes,gential herpes,TRUE,TRUE
DLTypo,109599,summarization_with_t5-base_from_description_to_title,naturality,taning bed eye damage,taning eye damage,TRUE,TRUE
DLTypo,109832,summarization_with_t5-base_from_description_to_title,naturality,the great catsby,the great catsby,FALSE,FALSE
DLTypo,109873,summarization_with_t5-base_from_description_to_title,naturality,the miami hearld,miami hearld,TRUE,TRUE
DLTypo,109978,summarization_with_t5-base_from_description_to_title,naturality,things to do when broed,broeding,FALSE,TRUE
DLTypo,110090,summarization_with_t5-base_from_description_to_title,naturality,toliet gurgles after flushing,toliet gurgles,TRUE,TRUE
DLTypo,110271,summarization_with_t5-base_from_description_to_title,naturality,troy built tiller,tiller troy built,TRUE,TRUE
DLTypo,110434,summarization_with_t5-base_from_description_to_title,naturality,university of tennesse,university of tennesse,FALSE,FALSE
DLTypo,110445,summarization_with_t5-base_from_description_to_title,naturality,untied health care,health care untied,TRUE,TRUE
DLTypo,110633,summarization_with_t5-base_from_description_to_title,naturality,venitian las vegas,venitian las ve,FALSE,f
DLTypo,110843,summarization_with_t5-base_from_description_to_title,naturality,washington state goverment,washington state government,TRUE,TRUE
DLTypo,110992,summarization_with_t5-base_from_description_to_title,naturality,what causes stomache cancer,stomache cancer,TRUE,TRUE
DLTypo,110999,summarization_with_t5-base_from_description_to_title,naturality,what does excupatory mean,excupatory,TRUE,TRUE
DLTypo,111002,summarization_with_t5-base_from_description_to_title,naturality,what does the declaration of independance represent,declaration of independance,TRUE,TRUE
DLTypo,111014,summarization_with_t5-base_from_description_to_title,naturality,what is acid reflex,acid reflex,TRUE,TRUE
DLTypo,1245295473,summarization_with_t5-base_from_description_to_title,naturality,what is acreis,acreis,TRUE,TRUE
DLTypo,111024,summarization_with_t5-base_from_description_to_title,naturality,what is hepatitus,hepatitis,TRUE,TRUE
DLTypo,111026,summarization_with_t5-base_from_description_to_title,naturality,what is leader of algonquians civilization,algonquian leader,TRUE,TRUE
DLTypo,111043,summarization_with_t5-base_from_description_to_title,naturality,what kind of medicine is zytec,zytec,TRUE,TRUE
